(-4.1812026762641965, -2.0457791783839463, 29.756621224391463):(0.66, 1.0, 1.0)
(-2.216829641429335, -2.1990479705758395, 29.627004518407585):(0.66, 1.0, 1.0)
(-2.137180985193327, -1.9570977149512618, 29.646997898238897):(0.66, 1.0, 1.0)
(-4.097475704938918, -1.8004419867232442, 29.740056286805867):(0.66, 1.0, 1.0)
(-4.016422437503934, -2.1262230525296184, 29.74262116522789):(0.66, 1.0, 1.0)
(-2.372603619367257, -1.9505114274799824, 29.547225770270824):(0.66, 1.0, 1.0)
(-4.176320196697116, -1.8806909430153669, 29.721874513691663):(0.66, 1.0, 1.0)
(-3.7639356179088357, -2.1215630638457834, 29.67743382974267):(0.66, 1.0, 1.0)
(-2.617742373213172, -1.952393873417005, 29.575742149579526):(0.66, 1.0, 1.0)
(-3.516750153268129, -2.119452847083658, 29.64791543480158):(0.66, 1.0, 1.0)
(-2.2098840245816858, -2.111322029954195, 29.534178447282315):(0.66, 1.0, 1.0)
(-2.774620592324436, -1.948867165586725, 29.522316177910568):(0.66, 1.0, 1.0)
(-3.3438200309216977, -2.112732801085338, 29.55391369662285):(0.66, 1.0, 1.0)
(-3.0219301355987787, -1.9520316107396036, 29.570253356689214):(0.66, 1.0, 1.0)
(-4.168909504970908, -1.9585590855251997, 29.669133761143684):(0.66, 1.0, 1.0)
(-3.123016675759107, -2.2090904199875894, 29.762302441829444):(0.66, 1.0, 1.0)
(-3.271347548994422, -1.874887406924367, 29.630156057035922):(0.66, 1.0, 1.0)
(-2.8689423536457124, -2.2016514219064267, 29.66207975882292):(0.66, 1.0, 1.0)
(-2.210168408116698, -2.030747477247566, 29.537980005419254):(0.66, 1.0, 1.0)
(-3.4263865883588793, -1.8709786366347223, 29.568383083951474):(0.66, 1.0, 1.0)
(-2.711173291011155, -2.205395634008199, 29.71252549664378):(0.66, 1.0, 1.0)
(-3.685074699664861, -1.8790859873559327, 29.696509673011303):(0.66, 1.0, 1.0)
(-2.4608486076064406, -2.1997174965362998, 29.636025005739928):(0.66, 1.0, 1.0)
(-3.9344316870592535, -1.8817241983037443, 29.73820478719473):(0.66, 1.0, 1.0)
(-3.916812521082908, -2.035357159818709, 29.60503057371974):(0.66, 1.0, 1.0)
(-2.617823332321644, -2.0334063679676504, 29.576654992860558):(0.66, 1.0, 1.0)
(-3.2654513205908238, -2.03341282122992, 29.576748858493566):(0.66, 1.0, 1.0)
(-2.8695169873178004, -1.8772833272069693, 29.668021453392505):(0.66, 1.0, 1.0)
(-2.7263848035007716, -1.808867600606382, 29.879233207511902):(0.66, 1.0, 1.0)
(-3.507768972169608, -1.9521599426597358, 29.572198721933365):(0.66, 1.0, 1.0)
(-3.8358997587673365, -1.95438705146797, 29.60593403043747):(0.66, 1.0, 1.0)
(-2.5363148165665566, -2.1138951216191053, 29.57017122426033):(0.66, 1.0, 1.0)
(-3.514948226444423, -2.0372611655183137, 29.63272328209877):(0.66, 1.0, 1.0)
(-2.247612875775248, -1.8185039344903082, 30.0384082013309):(0.66, 1.0, 1.0)
(-3.101448993264139, -1.951141060546413, 29.55676251858473):(0.66, 1.0, 1.0)
(-2.291990347087011, -2.0316122143916786, 29.55055800024271):(0.66, 1.0, 1.0)
(-2.297684324384481, -2.1988226930566133, 29.623970311820507):(0.66, 1.0, 1.0)
(-3.540143815655261, -2.2152386189498006, 29.845136516320707):(0.66, 1.0, 1.0)
(-3.7582573337718843, -1.9561514320384712, 29.632662269437315):(0.66, 1.0, 1.0)
(-4.017124669770896, -1.8009120482135565, 29.747821321296694):(0.66, 1.0, 1.0)
(5.963694913984836, -2.924167612167448, 29.579557787561416):(0.0, 1.0, 1.0)
(8.039976903136075, -2.9433059347480537, 29.7731533090055):(0.0, 1.0, 1.0)
(8.336424518631398, -2.5448624557726087, 30.87094004675746):(0.0, 1.0, 1.0)
(6.067414091821015, -2.480814707738161, 30.09399777584076):(0.0, 1.0, 1.0)
(6.10906637980938, -2.916267645829171, 29.499647627538444):(0.0, 1.0, 1.0)
(8.0585136056751, -2.5371716337978842, 30.77764699410796):(0.0, 1.0, 1.0)
(6.008577939729393, -2.5383276477344334, 29.802174216091633):(0.0, 1.0, 1.0)
(8.06085731319934, -2.8692480036132038, 29.850475124198198):(0.0, 1.0, 1.0)
(7.786493347850442, -2.530897596221417, 30.701538392221927):(0.0, 1.0, 1.0)
(5.957093813343346, -2.597448623356223, 29.54681745476723):(0.0, 1.0, 1.0)
(6.567717915768921, -2.9048579848065974, 29.384230445188283):(0.0, 1.0, 1.0)
(8.074436150334776, -2.7922421049416064, 29.90075894380212):(0.0, 1.0, 1.0)
(7.498828622303903, -2.5189487944692375, 30.556591081726552):(0.0, 1.0, 1.0)
(6.8179724932789805, -2.908688289293647, 29.422975831854345):(0.0, 1.0, 1.0)
(7.223908503079414, -2.510601793053746, 30.45533587675691):(0.0, 1.0, 1.0)
(5.954953676910699, -2.6773570233985784, 29.536203598314525):(0.0, 1.0, 1.0)
(6.981099816907943, -2.909548333156109, 29.43167717603445):(0.0, 1.0, 1.0)
(8.15789443128556, -2.738418084322661, 30.209818580412865):(0.0, 1.0, 1.0)
(7.049849939826131, -2.5079891018249096, 30.42364214577079):(0.0, 1.0, 1.0)
(5.941269240938127, -2.7518599362999203, 29.46832701244354):(0.0, 1.0, 1.0)
(7.214545992846787, -2.9062369296215476, 29.398181224894525):(0.0, 1.0, 1.0)
(8.219115357115864, -2.6756627487227322, 30.436527550542355):(0.0, 1.0, 1.0)
(6.803263161925972, -2.509178555393219, 30.43806929356456):(0.0, 1.0, 1.0)
(7.447201937487722, -2.9028322471141816, 29.363739577502013):(0.0, 1.0, 1.0)
(6.5168767689689995, -2.4952198557741943, 30.26874038489461):(0.0, 1.0, 1.0)
(5.960009514568746, -2.841450576387346, 29.561279802173377):(0.0, 1.0, 1.0)
(7.67552187654376, -2.898003740286082, 29.31489659536481):(0.0, 1.0, 1.0)
(8.304050261805951, -2.6191459577567877, 30.75105251363516):(0.0, 1.0, 1.0)
(6.254267714174092, -2.489619010784477, 30.200800439721345):(0.0, 1.0, 1.0)
(6.61631156731844, -2.5014915467098358, 30.34482082709074):(0.0, 1.0, 1.0)
(7.3105611488536, -2.751162103984505, 29.460852961415053):(0.0, 1.0, 1.0)
(6.104658801679314, -2.5443758211314678, 29.87318591410518):(0.0, 1.0, 1.0)
(7.048082919284702, -2.823555973444134, 29.37511139894128):(0.0, 1.0, 1.0)
(6.045936461667717, -2.6008782389223577, 29.585828011846544):(0.0, 1.0, 1.0)
(7.7095575550735, -2.8302629662528633, 29.44488876388073):(0.0, 1.0, 1.0)
(7.86801213015914, -2.9098451832205057, 29.4346808762908):(0.0, 1.0, 1.0)
(6.830405583031475, -2.671957109529525, 29.476629427683353):(0.0, 1.0, 1.0)
(6.621561002844572, -2.6043327875472606, 29.625127205747365):(0.0, 1.0, 1.0)
(6.253912198089063, -2.828002857808024, 29.421377769452334):(0.0, 1.0, 1.0)
(6.10604390642643, -2.6727203544579448, 29.485051521605254):(0.0, 1.0, 1.0)
(6.1669087295114995, -2.7445935629844667, 29.390514749318363):(0.0, 1.0, 1.0)
(6.788735108576715, -2.555656710238755, 30.00563266892433):(0.0, 1.0, 1.0)
(7.229715852461755, -2.566430138267577, 30.132123649328946):(0.0, 1.0, 1.0)
